Unnamed: 0,team_id,team_name,games_played,avg_pts_q1,avg_pts_q2,avg_pts_q3,avg_pts_q4,avg_pts_h1,avg_pts_h2,avg_pts_conc_q1,avg_pts_conc_q2,avg_pts_conc_q3,avg_pts_conc_q4,avg_pts_conc_h1,avg_pts_conc_h2,wins_when_leading_q1,wins_when_trailing_q1,wins_when_leading_q2,wins_when_trailing_q2,wins_when_leading_q3,wins_when_trailing_q3,wins_when_leading_q4,wins_when_trailing_q4,wins_when_leading_ht,wins_when_trailing_ht,avg_win_margin,avg_loss_margin,avg_diff_q1,avg_diff_q2,avg_diff_q3,avg_diff_q4,avg_diff_h1,avg_diff_h2
1,1,Atlanta,337,29.4,30.07,29.05,27.56,59.47,56.61,29.61,29.77,29.38,28.07,59.38,57.45,106,50,100,55,97,52,85,65,117,40,10.77,-11.4,-0.2,0.29,-0.32,-0.51,0.09,-0.83
2,2,Boston,394,29.53,29.12,28.75,26.77,58.65,55.52,26.46,26.92,26.83,26.09,53.38,52.92,193,71,191,69,187,76,154,108,222,44,15.4,-9.22,3.07,2.21,1.93,0.67,5.28,2.6
3,17,Brooklyn,330,28.12,27.95,27.36,26.56,56.07,53.92,28.25,28.49,28.0,27.03,56.74,55.03,98,43,75,67,93,51,90,52,95,49,10.98,-12.2,-0.13,-0.54,-0.65,-0.47,-0.67,-1.11
4,30,Charlotte,320,26.68,27.15,27.9,27.46,53.84,55.36,29.47,29.26,28.95,27.52,58.73,56.48,55,49,60,45,66,31,71,30,66,39,9.71,-14.41,-2.79,-2.1,-1.05,-0.07,-4.89,-1.12
5,4,Chicago,333,27.54,27.97,28.75,28.01,55.51,56.76,28.53,28.08,28.85,27.79,56.61,56.64,96,59,106,50,95,57,107,53,110,52,11.43,-12.68,-0.98,-0.11,-0.11,0.23,-1.1,0.12
6,5,Cleveland,348,29.19,28.19,27.96,26.8,57.38,54.76,27.42,26.94,27.8,25.75,54.36,53.54,141,61,137,62,125,76,131,73,156,47,13.55,-9.77,1.77,1.24,0.16,1.05,3.02,1.22
7,6,Dallas,361,28.6,28.47,28.45,26.93,57.07,55.38,27.98,28.05,28.01,26.91,56.04,54.92,122,73,128,65,126,65,108,80,137,57,12.21,-11.78,0.62,0.41,0.45,0.01,1.03,0.46
8,7,Denver,371,29.81,29.06,28.97,26.44,58.87,55.41,28.09,28.79,27.58,26.72,56.87,54.3,161,65,140,89,153,71,129,87,162,63,12.0,-11.73,1.73,0.27,1.39,-0.27,2.0,1.11
9,8,Detroit,325,27.37,27.59,27.95,26.38,54.96,54.33,29.41,29.07,29.3,27.42,58.48,56.72,58,34,54,39,66,29,53,35,62,29,10.16,-12.55,-2.04,-1.48,-1.35,-1.04,-3.53,-2.38
10,9,Golden State,370,28.25,28.57,29.59,27.81,56.82,57.4,28.15,28.01,27.98,27.07,56.16,55.05,131,75,131,71,139,68,138,63,155,55,13.0,-10.96,0.1,0.56,1.61,0.74,0.66,2.35
11,10,Houston,327,28.06,27.59,28.51,27.12,55.65,55.63,28.64,29.04,28.52,27.93,57.68,56.44,94,38,79,46,89,39,77,51,89,42,11.22,-12.62,-0.58,-1.45,-0.01,-0.8,-2.03,-0.81
12,11,Indiana,362,28.91,29.85,29.0,28.23,58.75,57.23,30.0,29.25,29.46,27.71,59.25,57.17,99,65,115,58,103,63,108,49,121,48,11.47,-11.33,-1.09,0.6,-0.46,0.52,-0.49,0.06
13,12,LA,338,27.46,27.58,28.81,27.72,55.04,56.54,27.26,27.71,27.81,27.3,54.97,55.11,109,70,106,63,124,55,120,55,125,51,12.2,-11.64,0.2,-0.13,1.0,0.43,0.08,1.43
14,13,Los Angeles,350,28.95,29.34,28.1,27.43,58.29,55.53,28.82,29.22,28.9,27.06,58.04,55.96,119,58,109,65,105,67,111,62,129,48,10.73,-11.79,0.13,0.12,-0.8,0.37,0.25,-0.43
15,29,Memphis,345,29.3,28.21,29.56,27.05,57.5,56.61,28.08,28.07,29.3,27.28,56.15,56.58,130,50,125,55,117,64,102,72,143,41,13.68,-13.09,1.22,0.14,0.26,-0.23,1.36,0.03
16,14,Miami,375,27.71,27.88,26.91,26.04,55.58,52.95,27.15,27.38,27.01,25.94,54.53,52.95,125,65,126,67,128,68,123,67,153,46,11.43,-11.3,0.55,0.5,-0.1,0.1,1.05,0.0
17,15,Milwaukee,349,29.82,28.61,29.32,27.62,58.43,56.95,28.18,28.08,28.94,27.42,56.26,56.36,143,56,140,57,132,69,126,74,167,43,12.79,-13.3,1.64,0.52,0.38,0.2,2.17,0.59
18,16,Minnesota,366,28.86,28.05,28.86,27.47,56.92,56.33,27.6,27.73,27.7,26.99,55.33,54.69,136,64,123,79,148,56,138,65,145,60,12.93,-10.08,1.27,0.32,1.16,0.48,1.59,1.64
19,3,New Orleans,335,27.96,27.55,28.38,27.58,55.51,55.96,28.1,27.51,29.14,27.67,55.61,56.81,97,50,101,45,102,40,92,45,112,35,13.58,-12.88,-0.14,0.03,-0.76,-0.1,-0.1,-0.86
20,18,New York,362,27.98,28.48,28.17,26.69,56.46,54.86,27.53,27.5,27.31,26.48,55.03,53.78,132,62,134,60,125,71,124,69,148,49,12.76,-10.66,0.44,0.99,0.86,0.21,1.43,1.08
21,25,Oklahoma City,357,28.72,28.92,29.32,27.32,57.64,56.64,28.37,28.04,27.65,26.8,56.41,54.45,133,62,119,69,142,58,127,72,142,60,14.71,-11.92,0.36,0.87,1.67,0.52,1.23,2.19
22,19,Orlando,335,26.63,26.96,26.69,26.91,53.59,53.6,27.94,27.49,27.54,26.43,55.43,53.97,79,58,88,50,89,46,92,50,101,39,11.12,-12.42,-1.31,-0.53,-0.85,0.47,-1.84,-0.37
23,20,Philadelphia,350,28.38,28.13,27.63,26.88,56.51,54.51,27.89,28.19,27.29,26.64,56.08,53.93,120,59,117,70,122,62,129,58,137,51,11.68,-11.75,0.49,-0.07,0.34,0.25,0.43,0.58
24,21,Phoenix,349,28.9,28.16,29.48,27.27,57.06,56.74,28.02,27.34,28.82,27.33,55.35,56.14,139,57,125,69,135,57,121,71,157,44,11.97,-11.53,0.88,0.83,0.66,-0.06,1.71,0.6
25,22,Portland,321,26.83,27.99,27.75,26.01,54.82,53.76,29.11,28.7,29.51,27.57,57.81,57.08,63,45,75,37,69,44,70,38,78,33,10.66,-15.86,-2.27,-0.72,-1.76,-1.56,-2.99,-3.33
26,23,Sacramento,331,28.95,29.74,28.63,27.52,58.69,56.15,29.53,29.1,28.81,27.66,58.62,56.47,93,63,103,55,103,55,89,60,116,43,11.74,-12.09,-0.57,0.64,-0.17,-0.15,0.07,-0.32
27,24,San Antonio,322,28.36,28.19,28.45,27.42,56.55,55.87,29.36,29.67,29.74,28.4,59.03,58.14,73,30,68,35,67,38,63,40,78,24,11.96,-13.34,-1.0,-1.49,-1.29,-0.98,-2.49,-2.27
28,130579,Team Chuck,2,33.0,0.0,0.0,0.0,33.0,0.0,36.5,0.0,0.0,0.0,36.5,0.0,1,0,0,0,0,0,0,0,1,0,9.0,-16.0,-3.5,0.0,0.0,0.0,-3.5,0.0
29,111353,Team LeBron,2,46.5,46.0,47.0,29.5,92.5,76.5,45.5,51.0,52.0,23.5,96.5,75.5,1,0,0,1,0,0,1,0,0,1,3.0,-9.0,1.0,-5.0,-5.0,6.0,-4.0,1.0
30,28,Toronto,326,27.94,27.6,27.83,27.23,55.54,55.06,28.46,28.23,28.43,27.41,56.69,55.84,95,39,90,44,86,49,88,46,106,32,11.29,-12.17,-0.52,-0.63,-0.6,-0.18,-1.15,-0.79
31,26,Utah,326,28.22,28.33,29.23,28.16,56.55,57.39,29.2,28.66,29.72,28.27,57.85,57.99,83,43,92,40,82,46,85,44,99,33,12.43,-11.97,-0.98,-0.33,-0.49,-0.11,-1.3,-0.6
32,27,Washington,321,28.07,27.58,27.61,27.36,55.65,54.98,29.58,29.82,30.04,27.66,59.4,57.69,63,31,55,42,64,32,62,35,67,30,9.5,-13.82,-1.51,-2.24,-2.43,-0.29,-3.75,-2.72
