"FullName","position","total_matches_played_since_2022","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"Simi Sasagi","Reserve",60,2,0,2,0.4,0
"Taylor Losalu","Interchange",6,0,0,0,0,0
"Clayton Faulalo","Replacement",22,2,0,1,0.4,0
"Ronald Volkman","Five-Eighth",7,1,0,1,0.2,0
"Chris Randall","Interchange",87,0,1,0,0,0.2
"Dean Ieremia","Winger",15,1,0,1,0.2,0
"Trent Loiero","Interchange",94,0,0,0,0,0
"Riley Price","Replacement",7,0,0,0,0,0
"Reece Hoffman","Winger",3,0,0,0,0,0
"Alofiana Khan-Pereira","Winger",59,4,0,2,0.8,0
"Jayden Campbell","Fullback",71,2,0,2,0.4,0
"Xavier Coates","Winger",76,2,0,2,0.4,0
"Toby Sexton","Halfback",63,1,0,1,0.2,0
"Cole Geyer","Replacement",1,0,0,0,0,0
"Jordan Riki","Interchange",91,0,0,0,0,0
"Hamiso Tabuai-Fidow","Winger",80,5,0,3,1,0
"Heilum Luki","Interchange",46,1,0,1,0.2,0
"Max Plath","Interchange",35,2,0,2,0.4,0
"Brad Schneider","Interchange",56,1,0,1,0.2,0
"Kurt Falls","Five-Eighth",3,0,1,0,0,0.33
"Christian Tuipulotu","Winger",54,3,0,2,0.6,0
"Allan Fitzgibbon","Interchange",6,2,0,2,0.4,0
"Jack Cole","Interchange",20,0,0,0,0,0
"Ryley Smith","Interchange",22,1,0,1,0.2,0
"Mason Teague","Interchange",11,0,0,0,0,0
"Nicholas Lenaz","Interchange",1,0,0,0,0,0
"Ethan Sanders","Five-Eighth",6,0,2,0,0,0.4
"Chris Vea'ila","Replacement",6,1,0,1,0.2,0
"Fletcher Myers","Replacement",11,0,1,0,0,0.2
"Paul Alamoti","Centre",59,8,1,4,1.6,0.2
"Max McCathie","Interchange",1,0,0,0,0,0
"Ata Mariota","Replacement",68,0,0,0,0,0
"Utuloa Asomua","Replacement",2,1,0,1,0.5,0
"Jacob Kiraz","Interchange",78,3,0,3,0.6,0
"Tony Sukkar","Replacement",21,0,1,0,0,0.2
"Sione Finau","Winger",8,4,0,3,0.8,0
"Fonua Pole","Interchange",77,0,0,0,0,0
"Tom Rodwell","Replacement",3,0,1,0,0,0.33
"Jesse Colquhoun","Replacement",33,0,0,0,0,0
"Siua Wong","Interchange",40,1,0,1,0.2,0
"Joash Papalii","Replacement",21,0,2,0,0,0.4
"Arthur Miller-Stephen","Winger",1,1,0,1,1,0
"Ezra Mam","Halfback",69,2,1,1,0.4,0.2
"David Armstrong","Fullback",5,5,1,3,1,0.2
"Selwyn Cobbo","Reserve",76,1,0,1,0.2,0
"Ryan Rivett","Interchange",1,0,0,0,0,0
"Charlie Murray","Interchange",6,0,0,0,0,0
"Daniel Atkinson","Interchange",52,1,0,1,0.2,0
"Adrian Trevilyan","Interchange",3,0,0,0,0,0
"Tom Chester","Interchange",16,0,0,0,0,0
"Xavier Willison","Interchange",49,1,0,1,0.2,0
"Sam Walker","Halfback",66,0,7,0,0,1.4
"Marly Bitungane","Replacement",4,0,0,0,0,0
"Jack Howarth","2nd Row",37,1,1,1,0.2,0.2
"TC Robati","Reserve",7,0,0,0,0,0
"Griffin Neame","Interchange",87,1,0,1,0.2,0
"Ben Johnson","Replacement",1,0,0,0,0,0
"Raymond Tuaimalo Vaega","Winger",14,1,0,1,0.2,0
"Kurt Donoghoe","Interchange",43,0,2,0,0,0.4
"Taniela Otukolo","Interchange",7,0,0,0,0,0
"Isaiah Iongi","Replacement",23,3,2,2,0.6,0.4
"Xavier Va'a","Interchange",1,1,0,1,1,0
"Jeremiah Nanai","Interchange",80,2,1,2,0.4,0.2
"Paul Bryan","Replacement",3,0,0,0,0,0
"Morgan Smithies","Lock",49,0,0,0,0,0
"James Walsh","Replacement",2,0,0,0,0,0
"Ashton Ward","Interchange",6,1,1,1,0.2,0.2
"Hamish Stewart","Replacement",20,0,0,0,0,0
"Dylan Egan","Replacement",9,2,0,2,0.4,0
"Liam Ison","Fullback",1,0,1,0,0,1
"Isaiya Katoa","Five-Eighth",69,1,4,1,0.2,0.8
"Harrison Hassett","Interchange",2,1,0,1,0.5,0
"Luron Patea","Interchange",17,0,0,0,0,0
"Zyon Maiu'u","Replacement",4,0,0,0,0,0
"Ali Leiataua","Centre",16,0,1,0,0,0.2
"Sualauvi Faalogo","Interchange",25,3,1,2,0.6,0.2
"Noah Martin","Replacement",12,2,0,2,0.4,0
"Naufahu Whyte","Interchange",58,2,0,1,0.4,0
"Sam Tuivaiti","Interchange",11,0,0,0,0,0
"Charlie Guymer","Interchange",19,0,2,0,0,0.4
"Fletcher Sharpe","Fullback",26,4,0,3,0.8,0
"Vena Patuki-Case","Replacement",1,0,0,0,0,0
"Thomas Fletcher","Replacement",8,1,1,1,0.2,0.2
"Ethan Roberts","Replacement",2,0,0,0,0,0
"Ethan Strange","Centre",47,6,3,4,1.2,0.6
"Blake Steep","Interchange",25,0,0,0,0,0
"Nick Tsougranis","Centre",4,0,0,0,0,0
"Jesse McLean","Fullback",5,1,0,1,0.2,0
"Jamie Humphreys","Halfback",20,0,0,0,0,0
"Tim Johannssen","Interchange",2,0,0,0,0,0
"Josh Feledy","Replacement",5,1,0,1,0.2,0
"Latu Fainu","Interchange",25,1,2,1,0.2,0.4
"Viliami Vailea","Centre",49,0,5,0,0,1
"Heath Mason","Interchange",24,0,0,0,0,0
"Tallyn Da Silva","Interchange",35,1,0,1,0.2,0
"Kit Laulilii","Replacement",7,0,0,0,0,0
"Josiah Karapani","Replacement",28,3,0,3,0.6,0
"Harry Hayes","Replacement",34,0,0,0,0,0
"Rocco Berry","Centre",45,1,0,1,0.2,0
"Joe Roddy","Interchange",1,2,0,1,2,0
"Blaize Talagi","Replacement",45,0,1,0,0,0.2
"Jaylan De Groot","Replacement",23,3,0,3,0.6,0
"Tom Weaver","Halfback",15,0,0,0,0,0
"Keagan Russell-Smith","Interchange",1,0,0,0,0,0
"Jack Todd","Interchange",4,1,0,1,0.25,0
"Luke Smith","Replacement",3,0,0,0,0,0
