"","player_full_name","team_in_most_recent_game","games_played_last_5_matches","total_goals_scored_last_5_matches","matches_with_at_least_1_goal_last_5_matches","average_disposals_per_game_last_5_matches","matches_with_20_or_more_disposals_last_5_matches"
"1","Lance Franklin","Sydney",5,9,4,9.6,0
"2","David Mundy","Fremantle",5,2,2,23,4
"3","Paddy Ryder","St Kilda",5,3,2,6.6,0
"4","Shannon Hurn","West Coast",5,0,0,22.8,4
"5","Josh Kennedy","West Coast",5,19,5,11,0
"6","Shaun Higgins","Geelong",5,1,1,16.6,2
"7","Scott Pendlebury","Collingwood",5,0,0,19,4
"8","Jayden Hunt","West Coast",5,0,0,7.8,0
"9","Kyle Hartigan","Hawthorn",3,0,0,4.33,0
"10","Joel Selwood","Geelong",5,4,3,22.4,4
"11","Tom Hawkins","Geelong",5,6,4,8.8,0
"12","Shane Edwards","Richmond",5,5,2,11.6,0
"13","Jack Riewoldt","Richmond",5,7,5,8.8,0
"14","Robbie Gray","Port Adelaide",5,4,3,16.6,1
"15","Travis Boak","Port Adelaide",5,2,2,20.2,4
"16","Trent Cotchin","Richmond",5,1,1,16.2,1
"17","Josh Kennedy","Sydney",5,2,2,11.4,0
"18","Callan Ward","Greater Western Sydney",5,3,3,14,1
"19","Ben McEvoy","Hawthorn",5,5,4,11.4,0
"20","Stefan Martin","Western Bulldogs",4,0,0,10.75,0
"21","Todd Goldstein","Essendon",5,0,0,11.8,0
"22","Patrick Dangerfield","Geelong",5,5,2,17.4,1
"23","Mitch Robinson","Brisbane Lions",5,3,3,11.4,0
"24","Taylor Walker","Adelaide",5,8,4,12.4,0
"25","Michael Hurley","Essendon",1,1,1,6,0
"26","Jack Ziebell","North Melbourne",5,1,1,18.8,3
"27","Daniel Rich","Brisbane Lions",5,1,1,19.4,3
"28","Matt de Boer","Greater Western Sydney",5,3,2,8.6,0
"29","Steele Sidebottom","Collingwood",5,4,2,17.6,1
"30","Liam Shiels","North Melbourne",5,2,2,11.2,0
"31","Michael Walters","Fremantle",5,6,2,5.8,0
"32","Nic Naitanui","West Coast",5,1,1,13,0
"33","Jack Redden","West Coast",5,3,2,21.8,3
"34","Dan Hannebery","St Kilda",3,1,1,22.67,2
"35","Rory Sloane","Adelaide",5,1,1,13.2,1
"36","Dustin Martin","Richmond",5,6,3,14.8,1
"37","Mitch Duncan","Geelong",5,0,0,9.8,0
"38","Luke Shuey","West Coast",5,1,1,21.8,4
"39","Steven Motlop","Port Adelaide",5,1,1,7,0
"40","Jake Melksham","Melbourne",5,7,4,10,0
"41","Travis Colyer","Fremantle",5,0,0,11,0
"42","Phil Davis","Greater Western Sydney",5,0,0,11.6,0
"43","Jordan Roughead","Collingwood",1,0,0,6,0
"44","Nat Fyfe","Fremantle",5,0,0,4.2,0
"45","Ben Cunnington","North Melbourne",5,3,2,21.4,4
"46","Gary Rohan","Geelong",5,3,2,8,0
"47","Jack Gunston","Hawthorn",5,20,5,12.4,0
"48","Rhys Stanley","Geelong",5,1,1,8.2,0
"49","Robbie Tarrant","Richmond",5,0,0,7.4,0
"50","Liam Jones","Western Bulldogs",5,0,0,9.4,0
"51","Dylan Grimes","Richmond",5,0,0,8.4,0
"52","Sam Reid","Sydney",5,3,2,10,0
"53","Ed Curnow","Carlton",5,1,1,8.8,0
"54","Cameron Guthrie","Geelong",5,0,0,18.2,2
"55","Brodie Smith","Adelaide",5,1,1,11,0
"56","Ryan Lester","Brisbane Lions",5,0,0,13.4,0
