"","FullName","position","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"1","Simi Sasagi","Reserve",2,0,2,0.4,0
"2","Taylor Losalu","Interchange",0,0,0,0,0
"3","Clayton Faulalo","Replacement",2,0,1,0.4,0
"4","Ronald Volkman","Five-Eighth",1,0,1,0.2,0
"5","Chris Randall","Interchange",0,1,0,0,0.2
"6","Dean Ieremia","Winger",1,0,1,0.2,0
"7","Trent Loiero","Interchange",0,0,0,0,0
"8","Riley Price","Replacement",0,0,0,0,0
"9","Reece Hoffman","Winger",0,0,0,0,0
"10","Alofiana Khan-Pereira","Winger",4,0,2,0.8,0
"11","Jayden Campbell","Fullback",2,0,2,0.4,0
"12","Xavier Coates","Winger",2,0,2,0.4,0
"13","Toby Sexton","Halfback",1,0,1,0.2,0
"14","Cole Geyer","Replacement",0,0,0,0,0
"15","Jordan Riki","Interchange",0,0,0,0,0
"16","Hamiso Tabuai-Fidow","Winger",5,0,3,1,0
"17","Heilum Luki","Interchange",1,0,1,0.2,0
"18","Max Plath","Interchange",2,0,2,0.4,0
"19","Brad Schneider","Interchange",1,0,1,0.2,0
"20","Kurt Falls","Five-Eighth",0,1,0,0,0.33
"21","Christian Tuipulotu","Winger",3,0,2,0.6,0
"22","Allan Fitzgibbon","Interchange",2,0,2,0.4,0
"23","Jack Cole","Interchange",0,0,0,0,0
"24","Ryley Smith","Interchange",1,0,1,0.2,0
"25","Mason Teague","Interchange",0,0,0,0,0
"26","Nicholas Lenaz","Interchange",0,0,0,0,0
"27","Ethan Sanders","Five-Eighth",0,2,0,0,0.4
"28","Chris Vea'ila","Replacement",1,0,1,0.2,0
"29","Fletcher Myers","Replacement",0,1,0,0,0.2
"30","Paul Alamoti","Centre",8,1,4,1.6,0.2
"31","Max McCathie","Interchange",0,0,0,0,0
"32","Ata Mariota","Replacement",0,0,0,0,0
"33","Utuloa Asomua","Replacement",1,0,1,0.5,0
"34","Jacob Kiraz","Interchange",3,0,3,0.6,0
"35","Tony Sukkar","Replacement",0,1,0,0,0.2
"36","Sione Finau","Winger",4,0,3,0.8,0
"37","Fonua Pole","Interchange",0,0,0,0,0
"38","Tom Rodwell","Replacement",0,1,0,0,0.33
"39","Jesse Colquhoun","Replacement",0,0,0,0,0
"40","Siua Wong","Interchange",1,0,1,0.2,0
"41","Joash Papalii","Replacement",0,2,0,0,0.4
"42","Arthur Miller-Stephen","Winger",1,0,1,1,0
"43","Ezra Mam","Halfback",2,1,1,0.4,0.2
"44","David Armstrong","Fullback",5,1,3,1,0.2
"45","Selwyn Cobbo","Reserve",1,0,1,0.2,0
"46","Ryan Rivett","Interchange",0,0,0,0,0
"47","Charlie Murray","Interchange",0,0,0,0,0
"48","Daniel Atkinson","Interchange",1,0,1,0.2,0
"49","Adrian Trevilyan","Interchange",0,0,0,0,0
"50","Tom Chester","Interchange",0,0,0,0,0
"51","Xavier Willison","Interchange",1,0,1,0.2,0
"52","Sam Walker","Halfback",0,7,0,0,1.4
"53","Marly Bitungane","Replacement",0,0,0,0,0
"54","Jack Howarth","2nd Row",1,1,1,0.2,0.2
"55","TC Robati","Reserve",0,0,0,0,0
"56","Griffin Neame","Interchange",1,0,1,0.2,0
"57","Ben Johnson","Replacement",0,0,0,0,0
"58","Raymond Tuaimalo Vaega","Winger",1,0,1,0.2,0
"59","Kurt Donoghoe","Interchange",0,2,0,0,0.4
"60","Taniela Otukolo","Interchange",0,0,0,0,0
"61","Isaiah Iongi","Replacement",3,2,2,0.6,0.4
"62","Xavier Va'a","Interchange",1,0,1,1,0
